"","team","salary","player","position","season"
"5786","Dallas Mavericks",31969,"Pierre Jackson","PG","2016-2017"
"5787","Orlando Magic",31969,"Patricio Garino","SG","2016-2017"
"5788","Orlando Magic",31969,"Marcus Georges-Hunt","F","2016-2017"
"5789","Phoenix Suns",23069,"Elijah Millsap","SG","2016-2017"
"5790","Dallas Mavericks",15984,"Quinn Cook","PG","2016-2017"
"5791","Milwaukee Bucks",15435,"Axel Toupane","SG","2016-2017"
"5792","Cleveland Cavaliers",5767,"Dahntay Jones","SG","2016-2017"
"5793","Golden State Warriors",37457154,"Stephen Curry","PG","2017-2018"
"5794","Boston Celtics",27734406,"Al Horford","C","2017-2018"
"5795","Oklahoma City Thunder",26243760,"Carmelo Anthony","PF","2017-2018"
"5796","Portland Trail Blazers",26153057,"Damian Lillard","PG","2017-2018"
"5797","Washington Wizards",26011913,"Otto Porter Jr.","SF","2017-2018"
"5798","New Orleans Pelicans",25686667,"Jrue Holiday","PG","2017-2018"
"5799","Washington Wizards",25434263,"Bradley Beal","SG","2017-2018"
"5800","Detroit Pistons",25434263,"Andre Drummond","C","2017-2018"
"5801","Miami Heat",25434262,"Hassan Whiteside","C","2017-2018"
"5802","Philadelphia 76ers",25250000,"Joel Embiid","C","2017-2018"
"5803","Houston Rockets",24599495,"Chris Paul","PG","2017-2018"
"5804","LA Clippers",32088932,"Blake Griffin","PF","2017-2018"
"5805","Milwaukee Bucks",24157303,"Giannis Antetokounmpo","PF","2017-2018"
"5806","Cleveland Cavaliers",24119025,"Kevin Love","PF","2017-2018"
"5807","Charlotte Hornets",2.4e+07,"Nicolas Batum","SF","2017-2018"
"5808","Portland Trail Blazers",23962573,"CJ McCollum","SG","2017-2018"
"5809","Charlotte Hornets",23819725,"Dwight Howard","C","2017-2018"
"5810","New Orleans Pelicans",23775506,"Anthony Davis","PF","2017-2018"
"5811","Memphis Grizzlies",23112004,"Chandler Parsons","SF","2017-2018"
"5812","Dallas Mavericks",23112004,"Harrison Barnes","SF","2017-2018"
"5813","Los Angeles Lakers",22642650,"Brook Lopez","C","2017-2018"
"5814","Memphis Grizzlies",22642350,"Marc Gasol","C","2017-2018"
"5815","Denver Nuggets",31269231,"Paul Millsap","PF","2017-2018"
"5816","LA Clippers",22642350,"DeAndre Jordan","C","2017-2018"
"5817","Oklahoma City Thunder",22471910,"Steven Adams","C","2017-2018"
"5818","Utah Jazz",21924719,"Rudy Gobert","C","2017-2018"
"5819","Toronto Raptors",21666667,"Serge Ibaka","PF","2017-2018"
"5820","San Antonio Spurs",21461010,"LaMarcus Aldridge","PF","2017-2018"
"5821","Indiana Pacers",2.1e+07,"Victor Oladipo","SG","2017-2018"
"5822","LA Clippers",20559599,"Danilo Gallinari","SF","2017-2018"
"5823","Houston Rockets",19578455,"Ryan Anderson","PF","2017-2018"
"5824","Oklahoma City Thunder",19508958,"Paul George","SF","2017-2018"
"5825","Minnesota Timberwolves",19301070,"Jimmy Butler","SG","2017-2018"
"5826","Toronto Raptors",31200000,"Kyle Lowry","PG","2017-2018"
"5827","Miami Heat",19245370,"Tyler Johnson","SG","2017-2018"
"5828","Boston Celtics",29727900,"Gordon Hayward","SF","2017-2018"
"5829","Memphis Grizzlies",28530608,"Mike Conley","PG","2017-2018"
"5830","Oklahoma City Thunder",28530608,"Russell Westbrook","PG","2017-2018"
"5831","Houston Rockets",28299399,"James Harden","PG","2017-2018"
"5832","Toronto Raptors",27739975,"DeMar DeRozan","SG","2017-2018"
"5833","Washington Wizards",19169800,"John Wall","PG","2017-2018"
"5834","Minnesota Timberwolves",1.9e+07,"Jeff Teague","PG","2017-2018"
"5835","Sacramento Kings",1.9e+07,"George Hill","PG","2017-2018"
"5836","San Antonio Spurs",18868626,"Kawhi Leonard","SF","2017-2018"
"5837","Boston Celtics",18868626,"Kyrie Irving","PG","2017-2018"
"5838","New York Knicks",18622514,"Enes Kanter","C","2017-2018"
"5839","New York Knicks",18530000,"Joakim Noah","C","2017-2018"
"5840","Brooklyn Nets",18500000,"Allen Crabbe","SG","2017-2018"
"5841","Miami Heat",18109175,"Goran Dragic","PG","2017-2018"
"5842","Atlanta Hawks",18089887,"Kent Bazemore","SG","2017-2018"
"5843","New Orleans Pelicans",18063850,"DeMarcus Cousins","C","2017-2018"
"5844","Dallas Mavericks",17884176,"Wesley Matthews","SG","2017-2018"
"5845","Golden State Warriors",17826150,"Klay Thompson","SG","2017-2018"
"5846","Los Angeles Lakers",17745894,"Kentavious Caldwell-Pope","SG","2017-2018"
"5847","Golden State Warriors",17469565,"Draymond Green","PF","2017-2018"
"5848","Cleveland Cavaliers",17469565,"Tristan Thompson","C","2017-2018"
"5849","New York Knicks",17325000,"Tim Hardaway Jr.","G","2017-2018"
"5850","Los Angeles Lakers",17190000,"Luol Deng","SF","2017-2018"
"5851","Portland Trail Blazers",17131148,"Evan Turner","SG","2017-2018"
"5852","Detroit Pistons",17043478,"Reggie Jackson","PG","2017-2018"
"5853","Orlando Magic",1.7e+07,"Bismack Biyombo","C","2017-2018"
"5854","Orlando Magic",1.7e+07,"Evan Fournier","SG","2017-2018"
"5855","Toronto Raptors",16539326,"Jonas Valanciunas","C","2017-2018"
"5856","San Antonio Spurs",1.6e+07,"Pau Gasol","C","2017-2018"
"5857","LA Clippers",1.6e+07,"Tobias Harris","SF","2017-2018"
"5858","Washington Wizards",15944154,"Ian Mahinmi","C","2017-2018"
"5859","Atlanta Hawks",15500000,"Dennis Schroder","PG","2017-2018"
"5860","San Antonio Spurs",15453126,"Tony Parker","PG","2017-2018"
"5861","Brooklyn Nets",15400000,"DeMarre Carroll","SF","2017-2018"
"5862","Phoenix Suns",1.5e+07,"Eric Bledsoe","PG","2017-2018"
"5863","Golden State Warriors",14814815,"Andre Iguodala","SG","2017-2018"
"5864","Cleveland Cavaliers",14720000,"JR Smith","SG","2017-2018"
"5865","Miami Heat",14651700,"James Johnson","PF","2017-2018"
"5866","Chicago Bulls",14357750,"Robin Lopez","C","2017-2018"
"5867","Utah Jazz",14275000,"Ricky Rubio","PG","2017-2018"
"5868","Utah Jazz",14136364,"Joe Ingles","SF","2017-2018"
"5869","Minnesota Timberwolves",14112360,"Gorgui Dieng","C","2017-2018"
"5870","Charlotte Hornets",14087500,"Marvin Williams","PF","2017-2018"
"5871","Denver Nuggets",14041096,"Mason Plumlee","PF","2017-2018"
"5872","Minnesota Timberwolves",1.4e+07,"Taj Gibson","PF","2017-2018"
"5873","Charlotte Hornets",1.2e+07,"Kemba Walker","PG","2017-2018"
"5874","Utah Jazz",1.2e+07,"Derrick Favors","PF","2017-2018"
"5875","Miami Heat",11550000,"Dion Waiters","SG","2017-2018"
"5876","Milwaukee Bucks",11327466,"John Henson","F","2017-2018"
"5877","Chicago Bulls",11286516,"Omer Asik","C","2017-2018"
"5878","Indiana Pacers",11227000,"Monta Ellis","SG","2017-2018"
"5879","Utah Jazz",10845506,"Alec Burks","SG","2017-2018"
"5880","San Antonio Spurs",10714286,"Patty Mills","PG","2017-2018"
"5881","Milwaukee Bucks",10607143,"Tony Snell","SG","2017-2018"
"5882","Orlando Magic",10500000,"Terrence Ross","SG","2017-2018"
"5883","Milwaukee Bucks",10500000,"Mirza Teletovic","PF","2017-2018"
"5884","Indiana Pacers",10500000,"Bojan Bogdanovic","SF","2017-2018"
"5885","Philadelphia 76ers",10464092,"Robert Covington","SF","2017-2018"
"5886","Cleveland Cavaliers",10337079,"Iman Shumpert","SG","2017-2018"
"5887","Portland Trail Blazers",10162922,"Maurice Harkless","SF","2017-2018"
"5888","Detroit Pistons",10002681,"Jon Leuer","PF","2017-2018"
"5889","San Antonio Spurs",1e+07,"Danny Green","SG","2017-2018"
"5890","Phoenix Suns",1e+07,"Jared Dudley","SF","2017-2018"
"5891","Indiana Pacers",1e+07,"Al Jefferson","C","2017-2018"
"5892","Portland Trail Blazers",9904495,"Meyers Leonard","PF","2017-2018"
"5893","Milwaukee Bucks",9607500,"Matthew Dellavedova","PG","2017-2018"
"5894","Indiana Pacers",13964045,"Thaddeus Young","PF","2017-2018"
"5895","Houston Rockets",13618750,"Brandon Knight","PG","2017-2018"
"5896","Charlotte Hornets",13528090,"Cody Zeller","C","2017-2018"
"5897","Charlotte Hornets",1.3e+07,"Michael Kidd-Gilchrist","SF","2017-2018"
"5898","Phoenix Suns",1.3e+07,"Tyson Chandler","C","2017-2018"
"5899","Houston Rockets",12943020,"Eric Gordon","SG","2017-2018"
"5900","Denver Nuggets",12921348,"Kenneth Faried","PF","2017-2018"
"5901","Washington Wizards",12782609,"Marcin Gortat","C","2017-2018"
"5902","Orlando Magic",12750000,"Nikola Vucevic","C","2017-2018"
"5903","LA Clippers",12650000,"Austin Rivers","PG","2017-2018"
"5904","Miami Heat",12537527,"Kelly Olynyk","PF","2017-2018"
"5905","Brooklyn Nets",12516746,"Jeremy Lin","PG","2017-2018"
"5906","Los Angeles Lakers",12500000,"Jordan Clarkson","PG","2017-2018"
"5907","Atlanta Hawks",12500000,"Miles Plumlee","C","2017-2018"
"5908","Sacramento Kings",12307692,"Zach Randolph","PF","2017-2018"
"5909","New York Knicks",12253780,"Courtney Lee","SG","2017-2018"
"5910","New Orleans Pelicans",12236535,"Solomon Hill","SF","2017-2018"
"5911","Minnesota Timberwolves",12100000,"Nikola Pekovic","C","2017-2018"
"5912","Denver Nuggets",12016854,"Wilson Chandler","SF","2017-2018"
"5913","Sacramento Kings",9412280,"Bogdan Bogdanovic","SG","2017-2018"
"5914","Toronto Raptors",9367200,"Norman Powell","SF","2017-2018"
"5915","Miami Heat",9367200,"Josh Richardson","SG","2017-2018"
"5916","Oklahoma City Thunder",9259260,"Andre Roberson","SG","2017-2018"
"5917","Dallas Mavericks",9003125,"Dwight Powell","PF","2017-2018"
"5918","Philadelphia 76ers",9e+06,"Gerald Henderson","SG","2017-2018"
"5919","LA Clippers",8808989,"Avery Bradley","SG","2017-2018"
"5920","Washington Wizards",8600000,"Markieff Morris","PF","2017-2018"
"5921","Philadelphia 76ers",8575916,"Jerryd Bayless","PG","2017-2018"
"5922","Memphis Grizzlies",8533333,"JaMychal Green","PF","2017-2018"
"5923","Chicago Bulls",8470980,"Cristiano Felicio","PF","2017-2018"
"5924","New Orleans Pelicans",8445024,"E'Twaun Moore","G","2017-2018"
"5925","San Antonio Spurs",8406000,"Rudy Gay","SF","2017-2018"
"5926","Sacramento Kings",8393000,"Kosta Koufos","C","2017-2018"
"5927","Philadelphia 76ers",8339880,"Markelle Fultz","PG","2017-2018"
"5928","Sacramento Kings",8e+06,"Garrett Temple","SG","2017-2018"
"5929","Minnesota Timberwolves",8e+06,"Kevin Garnett","PF","2017-2018"
"5930","Los Angeles Lakers",8e+06,"Yi Jianlian","SF","2017-2018"
"5931","Sacramento Kings",8e+06,"Vince Carter","SF","2017-2018"
"5932","Indiana Pacers",7945000,"Cory Joseph","PG","2017-2018"
"5933","Toronto Raptors",7936509,"CJ Miles","SF","2017-2018"
"5934","Golden State Warriors",7692308,"Shaun Livingston","PG","2017-2018"
"5935","Houston Rockets",7590035,"PJ Tucker","SF","2017-2018"
"5936","Oklahoma City Thunder",7579366,"Corey Brewer","F","2017-2018"
"5937","Minnesota Timberwolves",7574323,"Andrew Wiggins","SF","2017-2018"
"5938","Cleveland Cavaliers",7560000,"Kyle Korver","SG","2017-2018"
"5939","Utah Jazz",7500000,"Boris Diaw","C","2017-2018"
"5940","Charlotte Hornets",7488372,"Jeremy Lamb","SG","2017-2018"
"5941","Denver Nuggets",7464912,"Darrell Arthur","F","2017-2018"
"5942","Houston Rockets",7420912,"Trevor Ariza","SF","2017-2018"
"5943","Los Angeles Lakers",7420912,"Channing Frye","F","2017-2018"
"5944","Portland Trail Blazers",7400000,"Festus Ezeli","C","2017-2018"
"5945","Portland Trail Blazers",7319035,"Al-Farouq Aminu","PF","2017-2018"
"5946","Minnesota Timberwolves",7300000,"Cole Aldrich","C","2017-2018"
"5947","Orlando Magic",7250000,"D.J. Augustin","PG","2017-2018"
"5948","Atlanta Hawks",7200000,"Dewayne Dedmon","C","2017-2018"
"5949","New York Knicks",7119650,"Lance Thomas","SF","2017-2018"
"5950","Brooklyn Nets",7019698,"D'Angelo Russell","PG","2017-2018"
"5951","LA Clippers",7e+06,"Boban Marjanovic","C","2017-2018"
"5952","LA Clippers",7e+06,"Lou Williams","SG","2017-2018"
"5953","Detroit Pistons",7e+06,"Langston Galloway","SG","2017-2018"
"5954","Utah Jazz",6796117,"Jae Crowder","PF","2017-2018"
"5955","Philadelphia 76ers",6500000,"Carl Landry","PF","2017-2018"
"5956","Philadelphia 76ers",6434520,"Ben Simmons","PG","2017-2018"
"5957","San Antonio Spurs",6393750,"Tim Duncan","C","2017-2018"
"5958","Portland Trail Blazers",6362998,"Andrew Nicholson","PF","2017-2018"
"5959","Portland Trail Blazers",6352531,"Ed Davis","PF","2017-2018"
"5960","Los Angeles Lakers",6286560,"Lonzo Ball","PG","2017-2018"
"5961","Los Angeles Lakers",6261395,"Isaiah Thomas","PG","2017-2018"
"5962","Minnesota Timberwolves",6216840,"Karl-Anthony Towns","C","2017-2018"
"5963","Milwaukee Bucks",6061175,"Spencer Hawes","PF","2017-2018"
"5964","Dallas Mavericks",6021175,"Josh McRoberts","PF","2017-2018"
"5965","Orlando Magic",6e+06,"Shelvin Mack","PG","2017-2018"
"5966","Orlando Magic",6e+06,"Jonathon Simmons","SF","2017-2018"
"5967","Phoenix Suns",6e+06,"Alan Williams","PF","2017-2018"
"5968","Detroit Pistons",6e+06,"Ish Smith","PG","2017-2018"
"5969","LA Clippers",5882260,"Wesley Johnson","SF","2017-2018"
"5970","Oklahoma City Thunder",5725000,"Alex Abrines","SG","2017-2018"
"5971","New York Knicks",5697054,"Kristaps Porzingis","PF","2017-2018"
"5972","Boston Celtics",5645400,"Jayson Tatum","SF","2017-2018"
"5973","Phoenix Suns",5628000,"Jared Sullinger","C","2017-2018"
"5974","Los Angeles Lakers",5519400,"Brandon Ingram","SF","2017-2018"
"5975","LA Clippers",5513514,"Patrick Beverley","PG","2017-2018"
"5976","Utah Jazz",5500000,"Thabo Sefolosha","SF","2017-2018"
"5977","Shanghai Sharks",5500000,"Luis Scola","F","2017-2018"
"5978","Washington Wizards",5450000,"Jason Smith","PF","2017-2018"
"5979","Memphis Grizzlies",5200000,"Ben McLemore","SG","2017-2018"
"5980","Oklahoma City Thunder",5192000,"Patrick Patterson","PF","2017-2018"
"5981","Golden State Warriors",5192000,"Nick Young","G","2017-2018"
"5982","Phoenix Suns",5090040,"Josh Jackson","SF","2017-2018"
"5983","Orlando Magic",5e+06,"C.J. Watson","PG","2017-2018"
"5984","Atlanta Hawks",5e+06,"Mike Muscala","PF","2017-2018"
"5985","Boston Celtics",5e+06,"Marcus Morris","PF","2017-2018"
"5986","Utah Jazz",4992385,"Dante Exum","PG","2017-2018"
"5987","Orlando Magic",4969080,"Jonathan Isaac","PF","2017-2018"
"5988","LA Clippers",4961798,"Alexis Ajinca","C","2017-2018"
"5989","Boston Celtics",4956480,"Jaylen Brown","SG","2017-2018"
"5990","Atlanta Hawks",4837500,"Mike Dunleavy","SG","2017-2018"
"5991","Oklahoma City Thunder",4666500,"Kyle Singler","F","2017-2018"
"5992","Sacramento Kings",4609200,"De'Aaron Fox","PG","2017-2018"
"5993","New York Knicks",4544000,"Ron Baker","SG","2017-2018"
"5994","Chicago Bulls",4536120,"Lauri Markkanen","PF","2017-2018"
"5995","Phoenix Suns",4468800,"Dragan Bender","PF","2017-2018"
"5996","Denver Nuggets",4402546,"Devin Harris","PG","2017-2018"
"5997","Chicago Bulls",4384616,"Justin Holiday","SF","2017-2018"
"5998","Brooklyn Nets",4347826,"Greivis Vasquez","PG","2017-2018"
"5999","Minnesota Timberwolves",4328000,"Jamal Crawford","SG","2017-2018"
"6000","New York Knicks",4294480,"Emmanuel Mudiay","PG","2017-2018"
"6001","Chicago Bulls",4221000,"Kris Dunn","PG","2017-2018"
"6002","Dallas Mavericks",4187599,"Nerlens Noel","PF","2017-2018"
"6003","Phoenix Suns",4187599,"Alex Len","C","2017-2018"
"6004","New York Knicks",4155720,"Frank Ntilikina","PG","2017-2018"
"6005","Los Angeles Lakers",4149242,"Julius Randle","PF","2017-2018"
"6006","Minnesota Timberwolves",4e+06,"Jordan Hill","C","2017-2018"
"6007","Flamengo Flamengo",4e+06,"Leandro Barbosa","G","2017-2018"
"6008","Utah Jazz",4e+06,"Jonas Jerebko","PF","2017-2018"
"6009","Minnesota Timberwolves",3949999,"Nemanja Bjelica","PF","2017-2018"
"6010","Detroit Pistons",3940402,"Stanley Johnson","SF","2017-2018"
"6011","Dallas Mavericks",3903900,"J.J. Barea","PG","2017-2018"
"6012","Chicago Bulls",3853931,"Quincy Pondexter","SF","2017-2018"
"6013","Sacramento Kings",3704160,"Willie Cauley-Stein","C","2017-2018"
"6014","Sacramento Kings",3675480,"Buddy Hield","SG","2017-2018"
"6015","Charlotte Hornets",3627842,"Frank Kaminsky","PF","2017-2018"
"6016","Washington Wizards",3547000,"Drew Gooden","PF","2017-2018"
"6017","Denver Nuggets",3533333,"Will Barton","SG","2017-2018"
"6018","LA Clippers",3527920,"Paul Pierce","SF","2017-2018"
"6019","Denver Nuggets",3500000,"Mike Miller","SG","2017-2018"
"6020","Houston Rockets",3477600,"Nene Hilario","C","2017-2018"
"6021","Golden State Warriors",3477600,"Zaza Pachulia","C","2017-2018"
"6022","Washington Wizards",3454500,"Jodie Meeks","SG","2017-2018"
"6023","Miami Heat",3448926,"Justise Winslow","SF","2017-2018"
"6024","Charlotte Hornets",3447480,"Malik Monk","SG","2017-2018"
"6025","Indiana Pacers",3410284,"Myles Turner","C","2017-2018"
"6026","Phoenix Suns",3408520,"Troy Daniels","SG","2017-2018"
"6027","Denver Nuggets",3355320,"Jamal Murray","PG","2017-2018"
"6028","Phoenix Suns",3332340,"Elfrid Payton","PG","2017-2018"
"6029","New Orleans Pelicans",3300000,"Rajon Rondo","PG","2017-2018"
"6030","New York Knicks",3294994,"Doug McDermott","SF","2017-2018"
"6031","Detroit Pistons",3290000,"Anthony Tolliver","PF","2017-2018"
"6032","Memphis Grizzlies",3290000,"Tyreke Evans","SG","2017-2018"
"6033","Houston Rockets",3290000,"Tarik Black","C","2017-2018"
"6034","Detroit Pistons",3275280,"Luke Kennard","SG","2017-2018"
"6035","Chicago Bulls",3263294,"Cameron Payne","PG","2017-2018"
"6036","Dallas Mavericks",3218280,"Dennis Smith Jr.","PG","2017-2018"
"6037","Washington Wizards",3208630,"Kelly Oubre Jr.","SF","2017-2018"
"6038","Utah Jazz",3200000,"Ekpe Udoh","C","2017-2018"
"6039","Phoenix Suns",3152931,"TJ Warren","SF","2017-2018"
"6040","Phoenix Suns",3073800,"Marquese Chriss","PF","2017-2018"
"6041","Portland Trail Blazers",3057240,"Zach Collins","PF","2017-2018"
"6042","Portland Trail Blazers",3028410,"Seth Curry","SG","2017-2018"
"6043","New York Knicks",3025035,"Mindaugas Kuzminskas","F","2017-2018"
"6044","Beijing Ducks",3e+06,"Justin Hamilton","C","2017-2018"
"6045","Washington Wizards",3e+06,"Tomas Satoransky","SG","2017-2018"
"6046","Philadelphia 76ers",3e+06,"Tibor Pleiss","C","2017-2018"
"6047","Miami Heat",2955840,"Bam Adebayo","C","2017-2018"
"6048","Toronto Raptors",2947320,"Jakob Poeltl","C","2017-2018"
"6049","Portland Trail Blazers",2947305,"Jusuf Nurkic","C","2017-2018"
"6050","Milwaukee Bucks",2799720,"Thon Maker","PF","2017-2018"
"6051","Cleveland Cavaliers",2775000,"Cedi Osman","SF","2017-2018"
"6052","Indiana Pacers",2659800,"Domantas Sabonis","PF","2017-2018"
"6053","Chicago Bulls",2639314,"Jerian Grant","PG","2017-2018"
"6054","Utah Jazz",2621280,"Donovan Mitchell","SG","2017-2018"
"6055","Denver Nuggets",2550055,"Gary Harris","SG","2017-2018"
"6056","Toronto Raptors",2536898,"Delon Wright","PG","2017-2018"
"6057","Milwaukee Bucks",2534280,"D.J. Wilson","PF","2017-2018"
"6058","Philadelphia 76ers",2526840,"Dario Saric","PF","2017-2018"
"6059","Atlanta Hawks",2526840,"Taurean Prince","SF","2017-2018"
"6060","Philadelphia 76ers",2516048,"Justin Anderson","SG","2017-2018"
"6061","San Antonio Spurs",2500000,"Manu Ginobili","G","2017-2018"
"6062","Detroit Pistons",2500000,"Reggie Bullock","SG","2017-2018"
"6063","Chicago Bulls",2494346,"Bobby Portis","PF","2017-2018"
"6064","Brooklyn Nets",2470357,"Rondae Hollis-Jefferson","SF","2017-2018"
"6065","Toronto Raptors",2451225,"Bruno Caboclo","F","2017-2018"
"6066","Cleveland Cavaliers",2445085,"Kendrick Perkins","C","2017-2018"
"6067","Denver Nuggets",2441400,"Trey Lyles","PF","2017-2018"
"6068","Indiana Pacers",2407560,"T.J. Leaf","PF","2017-2018"
"6069","Sacramento Kings",2365560,"Justin Jackson","SF","2017-2018"
"6070","Portland Trail Blazers",2361360,"Shabazz Napier","PG","2017-2018"
"6071","Houston Rockets",2334528,"Clint Capela","C","2017-2018"
"6072","Phoenix Suns",2319360,"Devin Booker","SG","2017-2018"
"6073","Atlanta Hawks",2299080,"John Collins","PF","2017-2018"
"6074","Chicago Bulls",2280600,"Denzel Valentine","SG","2017-2018"
"6075","Los Angeles Lakers",2272391,"Larry Nance Jr.","PF","2017-2018"
